Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
5d53b1980d,5d53b1980d,Nickel,Nickel,1,22,9,125b,125b
5d53b1980d,5d53b1980d,Nickel,Nickel,1,18,7,125b,125b
e947234b60,e947234b60,Nickel,Nickel,1,26,14,125b,125b
e947234b60,e947234b60,Nickel,Nickel,1,26,15,125b,125b
e835221e42,e835221e42,Brass,Brass,1,24,2,125b,125b
e835221e42,e835221e42,Brass,Brass,1,28,2,125b,125b
eeb4c50ec0,eeb4c50ec0,Brass,Nickel,1,20,10,125b,125b
eeb4c50ec0,eeb4c50ec0,Nickel,Brass,1,25,11,125b,125b
0db08b7f9e,0db08b7f9e,Brass,Nickel,1,18,0,125b,125b
0db08b7f9e,0db08b7f9e,Nickel,Brass,1,20,1,125b,125b
3aba1ffd71,3aba1ffd71,Brass,Brass,1,26,2,125b,125b
3aba1ffd71,3aba1ffd71,Brass,Brass,1,18,2,125b,125b
a54ce43a84,a54ce43a84,Nickel,Nickel,1,23,6,125b,125b
a54ce43a84,a54ce43a84,Nickel,Nickel,1,26,5,125b,125b
bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,20,17,125b,125b
bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,20,14,125b,125b
8d2c6884a2,8d2c6884a2,Brass,Brass,1,26,2,125b,125b
8d2c6884a2,8d2c6884a2,Brass,Brass,1,26,2,125b,125b
e148843b1b,e148843b1b,Nickel,Nickel,1,11,1,125b,125b
e148843b1b,e148843b1b,Nickel,Nickel,1,18,2,125b,125b
867e742682,867e742682,Nickel,Brass,1,26,3,125b,125b
867e742682,867e742682,Brass,Nickel,1,18,2,125b,125b
81bb3cb084,81bb3cb084,Brass,Brass,1,23,14,125b,125b
81bb3cb084,81bb3cb084,Brass,Brass,1,21,14,125b,125b
46a94c0ba6,46a94c0ba6,Brass,Brass,1,23,19,125b,125b
46a94c0ba6,46a94c0ba6,Brass,Brass,1,27,21,125b,125b
1a61c27690,1a61c27690,Nickel,Brass,1,24,4,125b,125b
1a61c27690,1a61c27690,Brass,Nickel,1,18,4,125b,125b
63c6b83358,63c6b83358,Nickel,Brass,1,28,3,125b,125b
63c6b83358,63c6b83358,Brass,Nickel,1,23,2,125b,125b
fb36246e43,fb36246e43,Nickel,Nickel,1,23,1,125b,125b
fb36246e43,fb36246e43,Nickel,Nickel,1,26,1,125b,125b
fa6595462f,fa6595462f,Brass,Brass,1,17,1,125b,125b
fa6595462f,fa6595462f,Brass,Brass,1,16,0,125b,125b
f9a66f58d3,f9a66f58d3,Nickel,Brass,1,28,3,125b,125b
f9a66f58d3,f9a66f58d3,Brass,Nickel,1,26,2,125b,125b
e8a21c10c7,e8a21c10c7,Brass,Nickel,1,26,13,125b,125b
e8a21c10c7,e8a21c10c7,Nickel,Brass,1,28,11,125b,125b
27c44d34a4,27c44d34a4,Brass,Brass,1,25,5,125b,125b
27c44d34a4,27c44d34a4,Brass,Brass,1,20,2,125b,125b
89d2cec2bc,89d2cec2bc,Brass,Brass,1,26,18,125b,125b
89d2cec2bc,89d2cec2bc,Brass,Brass,1,20,16,125b,125b
8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,26,15,125b,125b
8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,24,16,125b,125b
3cadb33f2f,3cadb33f2f,Nickel,Brass,1,20,8,125b,125b
3cadb33f2f,3cadb33f2f,Brass,Nickel,1,20,9,125b,125b
006a1314fe,006a1314fe,Brass,Brass,1,20,2,125b,125b
006a1314fe,006a1314fe,Brass,Brass,1,25,4,125b,125b
8edaa51105,8edaa51105,Brass,Nickel,1,20,4,125b,125b
8edaa51105,8edaa51105,Nickel,Brass,1,28,6,125b,125b
9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,25,12,125b,125b
9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,30,13,125b,125b
9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,26,16,125b,125b
9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,26,14,125b,125b
255872d83b,255872d83b,Brass,Nickel,1,26,9,125b,125b
255872d83b,255872d83b,Nickel,Brass,1,28,8,125b,125b
84e0e9ad16,84e0e9ad16,Brass,Nickel,1,23,3,125b,125b
84e0e9ad16,84e0e9ad16,Nickel,Brass,1,24,2,125b,125b
9e83787977,9e83787977,Brass,Brass,1,26,16,125b,125b
9e83787977,9e83787977,Brass,Brass,1,30,17,125b,125b
cdfa00c17a,cdfa00c17a,Brass,Nickel,1,18,6,125b,125b
cdfa00c17a,cdfa00c17a,Nickel,Brass,1,26,6,125b,125b
5187134316,5187134316,Brass,Brass,1,26,3,125b,125b
5187134316,5187134316,Brass,Brass,1,26,3,125b,125b
065850e0e3,065850e0e3,Brass,Brass,1,16,11,125b,125b
065850e0e3,065850e0e3,Brass,Brass,1,23,12,125b,125b
465776f37d,465776f37d,Nickel,Nickel,1,21,10,125b,125b
465776f37d,465776f37d,Nickel,Nickel,1,21,8,125b,125b
74711b8750,74711b8750,Brass,Nickel,1,19,2,125b,125b
74711b8750,74711b8750,Nickel,Brass,1,18,4,125b,125b
1fa0c6d8d0,1fa0c6d8d0,Brass,Nickel,1,16,8,125b,125b
1fa0c6d8d0,1fa0c6d8d0,Nickel,Brass,1,23,14,125b,125b
33cc68a9eb,33cc68a9eb,Brass,Nickel,1,20,14,125b,125b
33cc68a9eb,33cc68a9eb,Nickel,Brass,1,16,13,125b,125b
326bd7053d,326bd7053d,Nickel,Nickel,1,21,3,125b,125b
326bd7053d,326bd7053d,Nickel,Nickel,1,26,6,125b,125b
6ba945db7f,6ba945db7f,Brass,Brass,1,21,18,125b,125b
6ba945db7f,6ba945db7f,Brass,Brass,1,26,18,125b,125b
27c03bf211,27c03bf211,Nickel,Brass,1,26,14,125b,125b
27c03bf211,27c03bf211,Brass,Nickel,1,23,10,125b,125b
f366f00cde,f366f00cde,Brass,Nickel,1,21,10,125b,125b
