Weapon1,Weapon2,Material1,Material2,Hypothesis,Score,Type1,Type2
326bd7053d,326bd7053d,Nickel,Nickel,1,0.9904662905193744,125b,125b
27c03bf211,27c03bf211,Nickel,Brass,1,0.6270191621522294,125b,125b
27c03bf211,27c03bf211,Brass,Nickel,1,0.6269023479915353,125b,125b
f366f00cde,f366f00cde,Brass,Nickel,1,0.8781944622050109,125b,125b
f366f00cde,f366f00cde,Nickel,Brass,1,0.8781944622050106,125b,125b
5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,0.9653382366074638,125b,125b
5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,0.9653382366074637,125b,125b
d469fc3f70,d469fc3f70,Brass,Nickel,1,0.5610939270886137,125b,125b
d469fc3f70,d469fc3f70,Nickel,Brass,1,0.5609068187805659,125b,125b
2a3b7ab647,2a3b7ab647,Nickel,Brass,1,0.9308338277613809,125b,125b
2a3b7ab647,2a3b7ab647,Brass,Nickel,1,0.9308338277613804,125b,125b
9fbbe4fcae,9fbbe4fcae,Nickel,Brass,1,0.8820600886690477,125b,125b
9fbbe4fcae,9fbbe4fcae,Brass,Nickel,1,0.8824321776379815,125b,125b
a524d36b72,a524d36b72,Brass,Brass,1,0.9404428715175458,125b,125b
a524d36b72,a524d36b72,Brass,Brass,1,0.9404428715175457,125b,125b
7204a1feeb,7204a1feeb,Brass,Brass,1,0.9256298937779459,125b,125b
7204a1feeb,7204a1feeb,Brass,Brass,1,0.9253034289591898,125b,125b
651a720f52,651a720f52,Nickel,Brass,1,0.9289549226163918,125b,125b
651a720f52,651a720f52,Brass,Nickel,1,0.9291612448702832,125b,125b
c2081b71be,c2081b71be,Brass,Nickel,1,0.9051021650650102,125b,125b
c2081b71be,c2081b71be,Nickel,Brass,1,0.9049754894762424,125b,125b
bf77a5ca9b,bf77a5ca9b,Nickel,Brass,1,0.9363327886452657,125b,125b
bf77a5ca9b,bf77a5ca9b,Brass,Nickel,1,0.9363327886452654,125b,125b
be50e7d534,be50e7d534,Brass,Nickel,1,0.8106263545860452,125b,125b
be50e7d534,be50e7d534,Nickel,Brass,1,0.8126926373449133,125b,125b
93f6afc25d,93f6afc25d,Nickel,Brass,1,0.8844271636501014,125b,125b
93f6afc25d,93f6afc25d,Brass,Nickel,1,0.8844271636501015,125b,125b
