Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Score
33cc,33cc,33cc68a9eb,33cc68a9eb,Brass,Nickel,1,0.9713742703562463
33cc,33cc,33cc68a9eb,33cc68a9eb,Nickel,Brass,1,0.9713742703562466
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,0.9904662905193747
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,0.9904662905193744
27c0,27c0,27c03bf211,27c03bf211,Nickel,Brass,1,0.6270191621522294
27c0,27c0,27c03bf211,27c03bf211,Brass,Nickel,1,0.6269023479915353
f366,f366,f366f00cde,f366f00cde,Brass,Nickel,1,0.8781944622050109
f366,f366,f366f00cde,f366f00cde,Nickel,Brass,1,0.8781944622050106
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,0.9653382366074638
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,0.9653382366074637
d469,d469,d469fc3f70,d469fc3f70,Brass,Nickel,1,0.5610939270886137
d469,d469,d469fc3f70,d469fc3f70,Nickel,Brass,1,0.5609068187805659
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Nickel,Brass,1,0.9308338277613809
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Brass,Nickel,1,0.9308338277613804
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Nickel,Brass,1,0.8820600886690477
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Brass,Nickel,1,0.8824321776379815
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,0.9404428715175458
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,0.9404428715175457
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,0.9256298937779459
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,0.9253034289591898
651a,651a,651a720f52,651a720f52,Nickel,Brass,1,0.9289549226163918
651a,651a,651a720f52,651a720f52,Brass,Nickel,1,0.9291612448702832
c208,c208,c2081b71be,c2081b71be,Brass,Nickel,1,0.9051021650650102
c208,c208,c2081b71be,c2081b71be,Nickel,Brass,1,0.9049754894762424
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Nickel,Brass,1,0.9363327886452657
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Brass,Nickel,1,0.9363327886452654
be50,be50,be50e7d534,be50e7d534,Brass,Nickel,1,0.8106263545860452
be50,be50,be50e7d534,be50e7d534,Nickel,Brass,1,0.8126926373449133
93f6,93f6,93f6afc25d,93f6afc25d,Nickel,Brass,1,0.8844271636501014
93f6,93f6,93f6afc25d,93f6afc25d,Brass,Nickel,1,0.8844271636501015
ed47,ed47,ed472f9cda,ed472f9cda,Nickel,Brass,1,0.8735503524746658
ed47,ed47,ed472f9cda,ed472f9cda,Brass,Nickel,1,0.8739398782808729
a49e,a49e,a49e80e2bf,a49e80e2bf,Brass,Nickel,1,0.7276769534187187
a49e,a49e,a49e80e2bf,a49e80e2bf,Nickel,Brass,1,0.727676953418719
114a,114a,114a81160d,114a81160d,Nickel,Brass,1,0.9676086385955821
114a,114a,114a81160d,114a81160d,Brass,Nickel,1,0.9676086385955821
5460,5460,54602388df,54602388df,Nickel,Brass,1,0.9827462849477727
5460,5460,54602388df,54602388df,Brass,Nickel,1,0.9827462849477724
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,0.8738142696872415
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,0.8704023591364539
1588,1588,1588672e36,1588672e36,Brass,Nickel,1,0.9766064060246713
1588,1588,1588672e36,1588672e36,Nickel,Brass,1,0.977257292978055
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,0.9487158594369665
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,0.9487158594369665
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,0.7209758619411318
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,0.7205764076875762
0c71,0c71,0c7139a036,0c7139a036,Nickel,Brass,1,0.7112248798413943
0c71,0c71,0c7139a036,0c7139a036,Brass,Nickel,1,0.7112248798413945
fc6e,fc6e,fc6e345a87,fc6e345a87,Brass,Nickel,1,0.8554767242062573
fc6e,fc6e,fc6e345a87,fc6e345a87,Nickel,Brass,1,0.8582977428918019
f8c4,f8c4,f8c4c41732,f8c4c41732,Brass,Nickel,1,0.7542551078527735
f8c4,f8c4,f8c4c41732,f8c4c41732,Nickel,Brass,1,0.7537073347056223
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,0.8411326793411877
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,0.8404705308907565
77d9,77d9,77d984eb8b,77d984eb8b,Brass,Nickel,1,0.9506114832084113
77d9,77d9,77d984eb8b,77d984eb8b,Nickel,Brass,1,0.9506114832084112
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,0.6380070163387986
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,0.6380070163387987
9645,9645,9645e12969,9645e12969,Brass,Nickel,1,0.9114137624273949
9645,9645,9645e12969,9645e12969,Nickel,Brass,1,0.9114137624273949
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,0.8691163293303329
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,0.8694614064496303
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,0.8910758283030634
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,0.8910758283030633
8c82,8c82,8c82f237f9,8c82f237f9,Brass,Nickel,1,0.8326167742985309
8c82,8c82,8c82f237f9,8c82f237f9,Nickel,Brass,1,0.8290506088358761
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,0.8801360423799354
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,0.8801360423799358
e3d3,e3d3,e3d39b187c,e3d39b187c,Brass,Brass,1,0.9151537810607335
e3d3,e3d3,e3d39b187c,e3d39b187c,Brass,Brass,1,0.9151537810607336
5e1f,5e1f,5e1f731abe,5e1f731abe,Brass,Brass,1,0.8611963295484065
5e1f,5e1f,5e1f731abe,5e1f731abe,Brass,Brass,1,0.8611963295484065
b9db,b9db,b9dba629ae,b9dba629ae,Nickel,Nickel,1,0.8317878125067429
b9db,b9db,b9dba629ae,b9dba629ae,Nickel,Nickel,1,0.8317878125067428
1318,1318,13189e401d,13189e401d,Nickel,Brass,1,0.7278045667257286
1318,1318,13189e401d,13189e401d,Brass,Nickel,1,0.7276976732797116
b92f,b92f,b92f20bb93,b92f20bb93,Brass,Nickel,1,0.7761169437149708
b92f,b92f,b92f20bb93,b92f20bb93,Nickel,Brass,1,0.7762698840494873
218a,218a,218ae10a65,218ae10a65,Nickel,Nickel,1,0.7701174204547455
218a,218a,218ae10a65,218ae10a65,Nickel,Nickel,1,0.7698788339128512
b4f6,b4f6,b4f6763191,b4f6763191,Nickel,Nickel,1,0.8090927155181471
b4f6,b4f6,b4f6763191,b4f6763191,Nickel,Nickel,1,0.8096238279800019
ef85,ef85,ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,0.9728910590592406
ef85,ef85,ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,0.9728910590592406
554c,554c,554cd2f9ad,554cd2f9ad,Brass,Nickel,1,0.9227451058281976
554c,554c,554cd2f9ad,554cd2f9ad,Nickel,Brass,1,0.9227451058281974
a954,a954,a9542eafb6,a9542eafb6,Nickel,Brass,1,0.9551272519556946
a954,a954,a9542eafb6,a9542eafb6,Brass,Nickel,1,0.9551272519556941
d54a,d54a,d54a78b3f6,d54a78b3f6,Brass,Brass,1,0.8439114920361858
d54a,d54a,d54a78b3f6,d54a78b3f6,Brass,Brass,1,0.8434230099368423
2753,2753,275310424a,275310424a,Brass,Nickel,1,0.7944340824364697
2753,2753,275310424a,275310424a,Nickel,Brass,1,0.7937737386636948
dd8d,dd8d,dd8d33227f,dd8d33227f,Nickel,Brass,1,0.949810171527544
dd8d,dd8d,dd8d33227f,dd8d33227f,Brass,Nickel,1,0.9498101715275443
7db9,7db9,7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,0.842730060650694
7db9,7db9,7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,0.8427463453215371
0b78,0b78,0b782c3069,0b782c3069,Nickel,Nickel,1,0.9494094235903946
0b78,0b78,0b782c3069,0b782c3069,Nickel,Nickel,1,0.9494094235903944
b447,b447,b4475e07ab,b4475e07ab,Nickel,Nickel,1,0.9001618797703625
b447,b447,b4475e07ab,b4475e07ab,Nickel,Nickel,1,0.900161879770362
1440,1440,1440f0509e,1440f0509e,Nickel,Nickel,1,0.9689393071486877
1440,1440,1440f0509e,1440f0509e,Nickel,Nickel,1,0.9689393071486877
744a,744a,744a7e7690,744a7e7690,Nickel,Nickel,1,0.8734952181547365
744a,744a,744a7e7690,744a7e7690,Nickel,Nickel,1,0.8734952181547366
88c2,88c2,88c293654f,88c293654f,Brass,Nickel,1,0.7825159683068538
88c2,88c2,88c293654f,88c293654f,Nickel,Brass,1,0.7826568255079489
9fbf,9fbf,9fbf447e53,9fbf447e53,Nickel,Brass,1,0.7702561547837666
9fbf,9fbf,9fbf447e53,9fbf447e53,Brass,Nickel,1,0.7702561547837664
1be7,1be7,1be78463d7,1be78463d7,Nickel,Brass,1,0.9752830124955918
1be7,1be7,1be78463d7,1be78463d7,Brass,Nickel,1,0.975283012495592
41f1,41f1,41f1030655,41f1030655,Nickel,Brass,1,0.9599860938846818
41f1,41f1,41f1030655,41f1030655,Brass,Nickel,1,0.9599860938846814
ac9b,ac9b,ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,0.7557774595041589
ac9b,ac9b,ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,0.7560790744993509
07ff,07ff,07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,0.9059163458357942
07ff,07ff,07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,0.9059163458357938
2daf,2daf,2dafb6ca52,2dafb6ca52,Nickel,Brass,1,0.6219106960639033
2daf,2daf,2dafb6ca52,2dafb6ca52,Brass,Nickel,1,0.6216905571001132
1f25,1f25,1f2544214d,1f2544214d,Nickel,Nickel,1,0.8444962450556376
1f25,1f25,1f2544214d,1f2544214d,Nickel,Nickel,1,0.844496245055637
37d2,37d2,37d21f987c,37d21f987c,Brass,Brass,1,0.7054278192233
37d2,37d2,37d21f987c,37d21f987c,Brass,Brass,1,0.696403165309044
4301,4301,43012574d4,43012574d4,Nickel,Nickel,1,0.8818275288105679
4301,4301,43012574d4,43012574d4,Nickel,Nickel,1,0.882510689443475
0f1b,0f1b,0f1b7d028f,0f1b7d028f,Brass,Brass,1,0.9696708610966546
0f1b,0f1b,0f1b7d028f,0f1b7d028f,Brass,Brass,1,0.9696708610966545
a3b1,a3b1,a3b1085bea,a3b1085bea,Brass,Nickel,1,0.8670750237338251
a3b1,a3b1,a3b1085bea,a3b1085bea,Nickel,Brass,1,0.8670750237338254
3443,3443,3443ea5ba5,3443ea5ba5,Brass,Brass,1,0.754524074641839
3443,3443,3443ea5ba5,3443ea5ba5,Brass,Brass,1,0.7545240746418391
2166,2166,21664540e1,21664540e1,Brass,Brass,1,0.8683916855464343
2166,2166,21664540e1,21664540e1,Brass,Brass,1,0.8683916855464344
a057,a057,a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,0.8608385256806194
a057,a057,a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,0.8613542491608159
90d6,90d6,90d6397a11,90d6397a11,Brass,Brass,1,0.7642981161828454
90d6,90d6,90d6397a11,90d6397a11,Brass,Brass,1,0.7642240229703361
633f,633f,633fbb7de1,633fbb7de1,Nickel,Nickel,1,0.6559192626678196
633f,633f,633fbb7de1,633fbb7de1,Nickel,Nickel,1,0.6555419690344356
3a2a,3a2a,3a2a75a851,3a2a75a851,Brass,Brass,1,0.9100884776830863
3a2a,3a2a,3a2a75a851,3a2a75a851,Brass,Brass,1,0.9100884776830865
803e,803e,803e2e304c,803e2e304c,Brass,Nickel,1,0.6467781224503953
803e,803e,803e2e304c,803e2e304c,Nickel,Brass,1,0.6461313566141892
a404,a404,a404412c4e,a404412c4e,Nickel,Brass,1,0.8997078744502951
a404,a404,a404412c4e,a404412c4e,Brass,Nickel,1,0.8997078744502953
b181,b181,b18136930a,b18136930a,Nickel,Nickel,1,0.9387853672482885
b181,b181,b18136930a,b18136930a,Nickel,Nickel,1,0.9375524163291916
ef4d,ef4d,ef4d4aee2a,ef4d4aee2a,Nickel,Brass,1,0.8956641942731355
ef4d,ef4d,ef4d4aee2a,ef4d4aee2a,Brass,Nickel,1,0.8959881595315676
d507,d507,d5070cee0f,d5070cee0f,Nickel,Brass,1,0.9855058145489509
d507,d507,d5070cee0f,d5070cee0f,Brass,Nickel,1,0.9855058145489513
06e1,06e1,06e173827a,06e173827a,Nickel,Brass,1,0.7737426406671899
06e1,06e1,06e173827a,06e173827a,Brass,Nickel,1,0.7740202893136175
ab58,ab58,ab584c07c2,ab584c07c2,Brass,Brass,1,0.9574506919095491
ab58,ab58,ab584c07c2,ab584c07c2,Brass,Brass,1,0.9568163940590286
e6cc,e6cc,e6cc40d201,e6cc40d201,Brass,Nickel,1,0.8712617432179263
e6cc,e6cc,e6cc40d201,e6cc40d201,Nickel,Brass,1,0.8713342725878904
d645,d645,d64504718a,d64504718a,Brass,Nickel,1,0.6028124681942976
d645,d645,d64504718a,d64504718a,Nickel,Brass,1,0.5733642705877217
6e46,6e46,6e46d2b898,6e46d2b898,Brass,Nickel,1,0.952028450262079
6e46,6e46,6e46d2b898,6e46d2b898,Nickel,Brass,1,0.9520284502620792
4b65,4b65,4b653e1078,4b653e1078,Nickel,Nickel,1,0.6759808748010228
4b65,4b65,4b653e1078,4b653e1078,Nickel,Nickel,1,0.6756602578969038
dd89,dd89,dd89c806a4,dd89c806a4,Nickel,Nickel,1,0.9260756478673283
dd89,dd89,dd89c806a4,dd89c806a4,Nickel,Nickel,1,0.9260756478673285
13e4,13e4,13e462a218,13e462a218,Nickel,Nickel,1,0.6546609871302979
13e4,13e4,13e462a218,13e462a218,Nickel,Nickel,1,0.6546609871302979
4bbf,4bbf,4bbf967d87,4bbf967d87,Brass,Brass,1,0.6758858781366404
4bbf,4bbf,4bbf967d87,4bbf967d87,Brass,Brass,1,0.6753584766355553
3c68,3c68,3c6819beb9,3c6819beb9,Brass,Brass,1,0.904010899644305
3c68,3c68,3c6819beb9,3c6819beb9,Brass,Brass,1,0.904010899644305
442e,442e,442ed1aba3,442ed1aba3,Brass,Brass,1,0.7212540484381451
442e,442e,442ed1aba3,442ed1aba3,Brass,Brass,1,0.7212540484381451
c966,c966,c9661c2165,c9661c2165,Nickel,Nickel,1,0.8098686332141609
c966,c966,c9661c2165,c9661c2165,Nickel,Nickel,1,0.8103042194710471
cccb,cccb,cccba287c0,cccba287c0,Brass,Brass,1,0.8581138538029522
cccb,cccb,cccba287c0,cccba287c0,Brass,Brass,1,0.8581138538029524
fe57,fe57,fe57804d2f,fe57804d2f,Brass,Nickel,1,0.8672617448031482
fe57,fe57,fe57804d2f,fe57804d2f,Nickel,Brass,1,0.867261744803148
5e80,5e80,5e80774246,5e80774246,Nickel,Brass,1,0.8850083742925849
5e80,5e80,5e80774246,5e80774246,Brass,Nickel,1,0.8850083742925849
a794,a794,a7941599a3,a7941599a3,Brass,Nickel,1,0.79119918101386
a794,a794,a7941599a3,a7941599a3,Nickel,Brass,1,0.7911097637786751
53b4,53b4,53b447cf40,53b447cf40,Nickel,Nickel,1,0.9446858139428462
53b4,53b4,53b447cf40,53b447cf40,Nickel,Nickel,1,0.9446858139428462
7f3b,7f3b,7f3b7d60f8,7f3b7d60f8,Nickel,Brass,1,0.8736145980397488
7f3b,7f3b,7f3b7d60f8,7f3b7d60f8,Brass,Nickel,1,0.8742407682629839
1f1c,1f1c,1f1cc95695,1f1cc95695,Nickel,Brass,1,0.5960386600310652
1f1c,1f1c,1f1cc95695,1f1cc95695,Brass,Nickel,1,0.5958480632950955
1ed3,1ed3,1ed3442cfa,1ed3442cfa,Nickel,Nickel,1,0.9581690226242578
1ed3,1ed3,1ed3442cfa,1ed3442cfa,Nickel,Nickel,1,0.9581690226242581
386d,386d,386dbcc899,386dbcc899,Brass,Nickel,1,0.5913478492864197
386d,386d,386dbcc899,386dbcc899,Nickel,Brass,1,0.5916507470230337
9749,9749,9749f4949a,9749f4949a,Brass,Brass,1,0.8827766858025302
9749,9749,9749f4949a,9749f4949a,Brass,Brass,1,0.8827766858025301
e6b0,e6b0,e6b0884c5f,e6b0884c5f,Brass,Brass,1,0.7402024327266157
e6b0,e6b0,e6b0884c5f,e6b0884c5f,Brass,Brass,1,0.7402024327266155
797e,797e,797ececd4d,797ececd4d,Brass,Brass,1,0.9507932834117223
797e,797e,797ececd4d,797ececd4d,Brass,Brass,1,0.950793283411722
53e9,53e9,53e96a3c39,53e96a3c39,Nickel,Brass,1,0.5511078470543396
53e9,53e9,53e96a3c39,53e96a3c39,Brass,Nickel,1,0.5514122147098733
db48,db48,db4804f266,db4804f266,Nickel,Nickel,1,0.9687208851358581
db48,db48,db4804f266,db4804f266,Nickel,Nickel,1,0.968720885135858
ea56,ea56,ea5653bbfb,ea5653bbfb,Brass,Brass,1,0.8673397114795378
ea56,ea56,ea5653bbfb,ea5653bbfb,Brass,Brass,1,0.8672200801010059
650f,650f,650f711e0f,650f711e0f,Brass,Nickel,1,0.9383510320053529
650f,650f,650f711e0f,650f711e0f,Nickel,Brass,1,0.9383510320053525
ae9b,ae9b,ae9b0acf0b,ae9b0acf0b,Nickel,Nickel,1,0.8953405813132134
ae9b,ae9b,ae9b0acf0b,ae9b0acf0b,Nickel,Nickel,1,0.895340581313213
485d,485d,485d8c99eb,485d8c99eb,Nickel,Brass,1,0.8379631981779377
485d,485d,485d8c99eb,485d8c99eb,Brass,Nickel,1,0.8370423707956971
0e45,0e45,0e45ff7118,0e45ff7118,Nickel,Brass,1,0.6748852838313477
0e45,0e45,0e45ff7118,0e45ff7118,Brass,Nickel,1,0.6740732367869536
ff11,ff11,ff11e3e39e,ff11e3e39e,Brass,Nickel,1,0.687311122891685
ff11,ff11,ff11e3e39e,ff11e3e39e,Nickel,Brass,1,0.6873391459216932
93ac,93ac,93ac97b997,93ac97b997,Brass,Nickel,1,0.591924047851666
93ac,93ac,93ac97b997,93ac97b997,Nickel,Brass,1,0.5910275820677232
0d99,0d99,0d991a198f,0d991a198f,Nickel,Nickel,1,0.9729833027955681
0d99,0d99,0d991a198f,0d991a198f,Nickel,Nickel,1,0.9729833027955679
0705,0705,0705af84e4,0705af84e4,Brass,Brass,1,0.9495714069248659
0705,0705,0705af84e4,0705af84e4,Brass,Brass,1,0.9496472621264321
cc6c,cc6c,cc6c455419,cc6c455419,Nickel,Brass,1,0.7394730470605727
cc6c,cc6c,cc6c455419,cc6c455419,Brass,Nickel,1,0.7394440408099184
b4ec,b4ec,b4ecec09f7,b4ecec09f7,Brass,Brass,1,0.9047148052952984
b4ec,b4ec,b4ecec09f7,b4ecec09f7,Brass,Brass,1,0.9047148052952984
bd89,bd89,bd89ab2453,bd89ab2453,Nickel,Brass,1,0.8919403036896818
bd89,bd89,bd89ab2453,bd89ab2453,Brass,Nickel,1,0.8919403036896821
5c05,5c05,5c05f057df,5c05f057df,Brass,Brass,1,0.9017516574712894
5c05,5c05,5c05f057df,5c05f057df,Brass,Brass,1,0.9017516574712892
0244,0244,024453ba54,024453ba54,Nickel,Nickel,1,0.9092516786323944
0244,0244,024453ba54,024453ba54,Nickel,Nickel,1,0.9091907943117614
f906,f906,f9063e2a6e,f9063e2a6e,Nickel,Brass,1,0.8322008123984925
f906,f906,f9063e2a6e,f9063e2a6e,Brass,Nickel,1,0.8315860016678227
a83f,a83f,a83feb1bb6,a83feb1bb6,Nickel,Brass,1,0.7324339642445538
a83f,a83f,a83feb1bb6,a83feb1bb6,Brass,Nickel,1,0.7319967849017813
c035,c035,c0355dcdaa,c0355dcdaa,Nickel,Nickel,1,0.9508846312483046
c035,c035,c0355dcdaa,c0355dcdaa,Nickel,Nickel,1,0.9473127620014118
f207,f207,f20719359c,f20719359c,Brass,Brass,1,0.7002157179955445
f207,f207,f20719359c,f20719359c,Brass,Brass,1,0.7004878536771294
ff7d,ff7d,ff7d167ca0,ff7d167ca0,Brass,Brass,1,0.7504537748823149
ff7d,ff7d,ff7d167ca0,ff7d167ca0,Brass,Brass,1,0.750453774882315
4e01,4e01,4e0193ff9e,4e0193ff9e,Brass,Nickel,1,0.666079094511109
4e01,4e01,4e0193ff9e,4e0193ff9e,Nickel,Brass,1,0.6660790945111091
9b00,9b00,9b00c4c264,9b00c4c264,Brass,Nickel,1,0.9717811378321612
9b00,9b00,9b00c4c264,9b00c4c264,Nickel,Brass,1,0.9720321981374774
6fe8,6fe8,6fe84404dd,6fe84404dd,Nickel,Nickel,1,0.7903326383637702
6fe8,6fe8,6fe84404dd,6fe84404dd,Nickel,Nickel,1,0.7901342197689236
2d95,2d95,2d95605114,2d95605114,Brass,Brass,1,0.532946310793991
2d95,2d95,2d95605114,2d95605114,Brass,Brass,1,0.5077275256386868
8410,8410,84106ae247,84106ae247,Nickel,Nickel,1,0.8926925648032372
8410,8410,84106ae247,84106ae247,Nickel,Nickel,1,0.8926925648032371
eb35,eb35,eb358a4d60,eb358a4d60,Brass,Brass,1,0.5828543680948028
