Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
5d53,5d53,5d53b1980d,5d53b1980d,Nickel,Nickel,1,9,22
5d53,5d53,5d53b1980d,5d53b1980d,Nickel,Nickel,1,7,18
e947,e947,e947234b60,e947234b60,Nickel,Nickel,1,14,26
e947,e947,e947234b60,e947234b60,Nickel,Nickel,1,15,26
e835,e835,e835221e42,e835221e42,Brass,Brass,1,2,24
e835,e835,e835221e42,e835221e42,Brass,Brass,1,2,28
eeb4,eeb4,eeb4c50ec0,eeb4c50ec0,Brass,Nickel,1,10,20
eeb4,eeb4,eeb4c50ec0,eeb4c50ec0,Nickel,Brass,1,11,25
0db0,0db0,0db08b7f9e,0db08b7f9e,Brass,Nickel,1,0,18
0db0,0db0,0db08b7f9e,0db08b7f9e,Nickel,Brass,1,1,20
3aba,3aba,3aba1ffd71,3aba1ffd71,Brass,Brass,1,2,26
3aba,3aba,3aba1ffd71,3aba1ffd71,Brass,Brass,1,2,18
a54c,a54c,a54ce43a84,a54ce43a84,Nickel,Nickel,1,6,23
a54c,a54c,a54ce43a84,a54ce43a84,Nickel,Nickel,1,5,26
bd69,bd69,bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,17,20
bd69,bd69,bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,14,20
8d2c,8d2c,8d2c6884a2,8d2c6884a2,Brass,Brass,1,2,26
8d2c,8d2c,8d2c6884a2,8d2c6884a2,Brass,Brass,1,2,26
e148,e148,e148843b1b,e148843b1b,Nickel,Nickel,1,1,11
e148,e148,e148843b1b,e148843b1b,Nickel,Nickel,1,2,18
867e,867e,867e742682,867e742682,Nickel,Brass,1,3,26
867e,867e,867e742682,867e742682,Brass,Nickel,1,2,18
81bb,81bb,81bb3cb084,81bb3cb084,Brass,Brass,1,14,23
81bb,81bb,81bb3cb084,81bb3cb084,Brass,Brass,1,14,21
46a9,46a9,46a94c0ba6,46a94c0ba6,Brass,Brass,1,19,23
46a9,46a9,46a94c0ba6,46a94c0ba6,Brass,Brass,1,21,27
1a61,1a61,1a61c27690,1a61c27690,Nickel,Brass,1,4,24
1a61,1a61,1a61c27690,1a61c27690,Brass,Nickel,1,4,18
63c6,63c6,63c6b83358,63c6b83358,Nickel,Brass,1,3,28
63c6,63c6,63c6b83358,63c6b83358,Brass,Nickel,1,2,23
fb36,fb36,fb36246e43,fb36246e43,Nickel,Nickel,1,1,23
fb36,fb36,fb36246e43,fb36246e43,Nickel,Nickel,1,1,26
fa65,fa65,fa6595462f,fa6595462f,Brass,Brass,1,1,17
fa65,fa65,fa6595462f,fa6595462f,Brass,Brass,1,0,16
f9a6,f9a6,f9a66f58d3,f9a66f58d3,Nickel,Brass,1,3,28
f9a6,f9a6,f9a66f58d3,f9a66f58d3,Brass,Nickel,1,2,26
e8a2,e8a2,e8a21c10c7,e8a21c10c7,Brass,Nickel,1,13,26
e8a2,e8a2,e8a21c10c7,e8a21c10c7,Nickel,Brass,1,11,28
27c4,27c4,27c44d34a4,27c44d34a4,Brass,Brass,1,5,25
27c4,27c4,27c44d34a4,27c44d34a4,Brass,Brass,1,2,20
89d2,89d2,89d2cec2bc,89d2cec2bc,Brass,Brass,1,18,26
89d2,89d2,89d2cec2bc,89d2cec2bc,Brass,Brass,1,16,20
8b44,8b44,8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,15,26
8b44,8b44,8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,16,24
3cad,3cad,3cadb33f2f,3cadb33f2f,Nickel,Brass,1,8,20
3cad,3cad,3cadb33f2f,3cadb33f2f,Brass,Nickel,1,9,20
006a,006a,006a1314fe,006a1314fe,Brass,Brass,1,2,20
006a,006a,006a1314fe,006a1314fe,Brass,Brass,1,4,25
