Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
9caf,9caf,9caf820c3c,9caf820c3c,Nickel,Nickel,1,19,82
c8fb,c8fb,c8fb080a8d,c8fb080a8d,Nickel,Brass,1,15,86
c8fb,c8fb,c8fb080a8d,c8fb080a8d,Brass,Nickel,1,18,100
5641,5641,5641b8bddf,5641b8bddf,Brass,Brass,1,48,78
5641,5641,5641b8bddf,5641b8bddf,Brass,Brass,1,50,89
0f66,0f66,0f66bf9663,0f66bf9663,Brass,Brass,1,15,90
0f66,0f66,0f66bf9663,0f66bf9663,Brass,Brass,1,23,100
3ce8,3ce8,3ce84d810b,3ce84d810b,Nickel,Nickel,1,27,86
3ce8,3ce8,3ce84d810b,3ce84d810b,Nickel,Nickel,1,31,93
1742,1742,17422e941b,17422e941b,Nickel,Nickel,1,15,80
1742,1742,17422e941b,17422e941b,Nickel,Nickel,1,19,82
70c4,70c4,70c4410a98,70c4410a98,Brass,Brass,1,30,100
70c4,70c4,70c4410a98,70c4410a98,Brass,Brass,1,29,97
0478,0478,04789b1531,04789b1531,Brass,Brass,1,25,108
0478,0478,04789b1531,04789b1531,Brass,Brass,1,22,124
24e3,24e3,24e3ac7fef,24e3ac7fef,Brass,Brass,1,27,100
24e3,24e3,24e3ac7fef,24e3ac7fef,Brass,Brass,1,38,116
bcf6,bcf6,bcf6bcdbb8,bcf6bcdbb8,Brass,Brass,1,24,97
bcf6,bcf6,bcf6bcdbb8,bcf6bcdbb8,Brass,Brass,1,23,80
8dfb,8dfb,8dfb321005,8dfb321005,Nickel,Brass,1,40,80
8dfb,8dfb,8dfb321005,8dfb321005,Brass,Nickel,1,45,89
f436,f436,f43675f66f,f43675f66f,Nickel,Nickel,1,24,72
f436,f436,f43675f66f,f43675f66f,Nickel,Nickel,1,27,76
4530,4530,45300e58f8,45300e58f8,Nickel,Brass,1,27,102
4530,4530,45300e58f8,45300e58f8,Brass,Nickel,1,24,76
f40d,f40d,f40d4f1a15,f40d4f1a15,Nickel,Brass,1,29,66
f40d,f40d,f40d4f1a15,f40d4f1a15,Brass,Nickel,1,29,76
dab9,dab9,dab931f945,dab931f945,Brass,Brass,1,40,89
dab9,dab9,dab931f945,dab931f945,Brass,Brass,1,41,80
f4f5,f4f5,f4f58530c1,f4f58530c1,Nickel,Nickel,1,42,86
f4f5,f4f5,f4f58530c1,f4f58530c1,Nickel,Nickel,1,46,84
